requested_at,confirmed_at,finished_at,predicted_duration
2019-08-28 16:22:43.643000,2019-08-28 16:23:06.684000,2019-08-28 16:27:34.226000,107
2019-08-28 14:55:22.423000,2019-08-28 14:55:27.006000,2019-08-28 15:02:35.774000,212
2019-08-28 15:01:00.023000,2019-08-28 15:06:59.953000,2019-08-28 15:23:40.966000,440
2019-08-28 15:21:03.541000,2019-08-28 15:30:59.385000,2019-08-28 15:37:36.003000,194
2021-05-05 15:25:57.952000,2021-05-05 15:32:04.624000,2021-05-05 15:41:45.021000,346
2019-08-30 16:15:11.920000,2019-08-30 16:15:19.697000,2019-08-30 16:25:27.391000,351
2019-08-30 14:24:39.864000,2019-08-30 14:24:45.803000,2019-08-30 14:39:49.930000,488
2019-08-30 15:06:39.671000,2019-08-30 15:22:50.127000,2019-08-30 15:44:00.437000,611
2019-08-30 16:47:33.899000,2019-08-30 17:03:50.001000,2019-08-30 17:28:11.084000,799
2019-08-30 16:34:04.564000,2019-08-30 16:34:13.335000,2019-08-30 16:45:42.280000,439
2021-05-07 18:28:10.756000,2021-05-07 18:36:20.312000,2021-05-07 18:50:50.921000,751
2021-05-05 15:43:14.525000,2021-05-05 15:47:27.846000,2021-05-05 15:57:31.706000,265
2021-06-30 16:09:47.524000,2021-06-30 16:21:09.033000,2021-06-30 16:40:07.870000,980
2021-10-05 15:28:40.269000,2021-10-05 15:39:58.451000,2021-10-05 16:00:00.972000,335
2021-05-11 16:48:39.598000,2021-05-11 16:49:45.276000,2021-05-11 17:08:39.282000,996
2021-05-05 17:07:32.314000,2021-05-05 17:22:01.402000,2021-05-05 17:26:39.347000,631
2021-05-05 16:17:47.597000,2021-05-05 16:18:06.963000,2021-05-05 16:31:11.090000,452
2021-05-07 14:59:50.942000,2021-05-07 15:16:17.584000,2021-05-07 15:32:04.848000,682
2021-05-11 14:43:15.630000,2021-05-11 14:45:19.680000,2021-05-11 14:53:48.677000,298
2021-05-05 16:32:29.315000,2021-05-05 16:40:13.240000,2021-05-05 16:48:43.016000,406
2021-05-11 15:04:04.658000,2021-05-11 15:07:00.499000,2021-05-11 15:15:33.315000,316
2021-05-11 15:25:56.880000,2021-05-11 15:26:33.641000,2021-05-11 15:33:27.874000,300
2021-05-11 15:39:35.558000,2021-05-11 15:42:28.697000,2021-05-11 15:59:03.047000,613
2021-05-05 18:31:43.312000,2021-05-05 18:40:43.272000,2021-05-05 18:53:55.477000,355
2021-05-11 16:01:26.523000,2021-05-11 16:08:53.853000,2021-05-11 16:22:39.029000,439
2021-05-05 16:51:00.653000,2021-05-05 17:02:46.907000,2021-05-05 17:13:29.591000,513
2021-05-05 18:41:10.502000,2021-05-05 19:06:49.658000,2021-05-05 19:31:23.529000,1350
2021-05-07 14:10:07.616000,2021-05-07 14:10:57.177000,2021-05-07 14:20:54.555000,382
2021-05-07 14:11:20.374000,2021-05-07 14:11:37.441000,2021-05-07 14:20:59.116000,382
2021-05-05 18:16:58.382000,2021-05-05 18:17:46.355000,2021-05-05 18:30:29.569000,648
2021-05-05 21:02:46.740000,2021-05-05 21:07:38.789000,2021-05-05 21:14:40.748000,212
2021-05-07 14:14:19.607000,2021-05-07 14:54:18.021000,2021-05-07 15:04:41.802000,585
2021-05-07 15:06:07.776000,2021-05-07 15:42:29.197000,2021-05-07 15:42:39.702000,405
2021-05-07 15:54:58.628000,2021-05-07 15:55:32.660000,2021-05-07 16:02:20.442000,374
2021-05-06 15:11:29.315000,2021-05-06 15:32:22.915000,2021-05-06 15:38:26.199000,263
2019-08-30 18:08:12.898000,2019-08-30 18:23:19.558000,2019-08-30 18:39:22.932000,440
2019-08-30 18:46:00.755000,2019-08-30 18:46:26.606000,2019-08-30 18:53:31.269000,107
2019-08-30 18:03:55.443000,2019-08-30 18:04:09.150000,2019-08-30 18:16:24.300000,417
2019-08-30 19:03:58.477000,2019-08-30 19:06:26.358000,2019-08-30 19:16:37.596000,302
2019-09-06 15:53:48.548000,2019-09-06 15:54:14.090000,2019-09-06 15:57:57.704000,213
2019-09-06 15:32:02.919000,2019-09-06 15:54:20.817000,2019-09-06 16:02:49.344000,352
2019-09-06 16:12:21.576000,2019-09-06 16:24:57.810000,2019-09-06 16:45:50.052000,622
2021-05-06 17:57:06.253000,2021-05-06 18:01:42.432000,2021-05-06 18:09:20.964000,465
2019-05-29 16:23:18.990000,2019-05-29 16:28:21.574000,2019-05-29 16:40:20.437000,770
2019-05-29 15:40:52.391000,2019-05-29 15:49:55.014000,2019-05-29 15:59:57.995000,754
2019-05-29 16:13:07.663000,2019-05-29 16:19:40.656000,2019-05-29 16:22:59.768000,268
2019-05-31 21:01:03.549000,2019-05-31 21:07:02.993000,2019-05-31 21:23:45.484000,897
2019-05-31 18:51:22.004000,2019-05-31 18:52:50.746000,2019-05-31 19:12:46.035000,555
2019-05-31 19:29:05.634000,2019-05-31 19:30:34.620000,2019-05-31 19:44:48.464000,458
2019-05-31 22:08:27.383000,2019-05-31 22:19:48.716000,2019-05-31 22:35:15.048000,480
2019-06-12 16:17:23.682000,2019-06-12 16:17:36.500000,2019-06-12 16:43:04.999000,947
2019-06-12 17:20:10.963000,2019-06-12 17:20:21.658000,2019-06-12 17:31:04.239000,420
2019-06-12 14:30:39.162000,2019-06-12 14:32:15.162000,2019-06-12 14:52:34.118000,693
2019-06-12 15:44:54.168000,2019-06-12 15:45:51.621000,2019-06-12 15:55:39.171000,359
2019-06-12 19:57:12.146000,2019-06-12 20:06:01.915000,2019-06-12 20:23:57.082000,660
2019-06-12 21:15:28.777000,2019-06-12 21:20:44.672000,2019-06-12 21:30:44.739000,372
2019-06-12 17:58:09.905000,2019-06-12 18:11:35.008000,2019-06-12 18:28:59.644000,863
2019-06-12 18:38:01.808000,2019-06-12 18:41:15.560000,2019-06-12 18:50:42.801000,337
2019-06-12 20:02:06.515000,2019-06-12 20:06:11.615000,2019-06-12 20:12:02.789000,125
2019-06-12 22:13:32.250000,2019-06-12 22:24:09.831000,2019-06-12 22:31:56.023000,342
2021-05-07 18:09:13.275000,2021-05-07 18:16:45.675000,2021-05-07 18:27:20.360000,429
2019-06-14 17:29:39.554000,2019-06-14 17:42:51.765000,2019-06-14 17:58:11.780000,948
2019-06-14 19:41:28.406000,2019-06-14 21:04:01.972000,2019-06-14 21:23:08.339000,984
2019-06-14 17:19:20.688000,2019-06-14 17:21:32.321000,2019-06-14 17:29:46.777000,495
2021-05-06 15:15:58.711000,2021-05-06 15:42:15.026000,2021-05-06 15:53:55.767000,456
2021-05-06 16:21:26.103000,2021-05-06 16:23:09.475000,2021-05-06 16:30:19.130000,255
2021-05-07 18:49:20.439000,2021-05-07 19:02:32.582000,2021-05-07 19:12:21.439000,428
2021-04-30 14:09:53.615000,2021-04-30 14:10:34.765000,2021-04-30 14:26:41.809000,759
2021-05-07 20:21:18.193000,2021-05-07 20:45:39.063000,2021-05-07 21:06:13.059000,832
2019-06-19 14:11:50.380000,2019-06-19 14:16:47.894000,2019-06-19 14:23:01.809000,273
2019-06-19 14:26:48.667000,2019-06-19 14:27:20.741000,2019-06-19 14:34:30.593000,459
2019-06-19 14:50:40.978000,2019-06-19 14:53:30.704000,2019-06-19 15:12:39.941000,929
2019-06-19 16:43:11.369000,2019-06-19 16:51:49.840000,2019-06-19 17:01:38.570000,396
2019-06-19 17:09:33.219000,2019-06-19 17:18:04.966000,2019-06-19 17:25:40.731000,371
2019-06-19 15:41:19.620000,2019-06-19 15:42:41.994000,2019-06-19 15:54:46.832000,953
2019-06-19 16:09:19.765000,2019-06-19 16:16:44.912000,2019-06-19 16:29:26.524000,388
2019-06-19 16:33:48.276000,2019-06-19 16:51:46.575000,2019-06-19 17:06:03.645000,581
2021-05-06 15:55:39.715000,2021-05-06 16:00:15.887000,2021-05-06 16:12:56.197000,416
2019-05-29 16:56:50.632000,2019-05-29 16:57:33.372000,2019-05-29 17:20:36.754000,1148
2019-05-29 22:22:06.772000,2019-05-29 22:24:07.158000,2019-05-29 22:29:48.074000,337
2019-05-29 21:15:57.844000,2019-05-29 21:18:59.700000,2019-05-29 21:28:17.899000,359
2019-05-31 16:30:42.871000,2019-05-31 16:31:05.222000,2019-05-31 16:41:05.182000,398
